Danish,English
vidunderligt,Wonderful
sind,mind
blind,blind
deler,shares
forladt,abandoned
gæster,Guests
sal,sole
drop,Drop
skyldig,guilty
bekymrer,worries
offer,victim
kong,King
faldet,decreased
louis,Louis
gæt,guess
behold,keep
synd,sin
dna,DNA
unger,kids
radio,radio
kylling,chicken
muligheder,options
nægter,denies
enden,the end
betjente,Officers
kugle,ball
afdeling,department
stranden,the beach
skifte,switch
Ryan,Ryan
abe,monkey
afstand,distance
mistænkte,suspect
sinde,Mind
lørdag,Saturday
spørgsmålet,the question
don,Don
vågen,awake
angående,regarding
kast,throw
karriere,career
Marty,Marty
hænge,hang
gemt,saved
stærkt,strong
slem,Bad
stinker,stinks
smager,Tastes
ram,Ram
fremragende,Excellent
fugl,bird
st,st
bøsse,Gay
virkeligheden,Reality
data,Data
smag,taste
Jason,Jason
angeles,Angeles
besluttet,decided
kniv,knife
personer,persons
jep,Yup
listen,the list
skære,cut
ryg,back
folket,the people
cool,Cool
mød,meet
sherif,Sherif
grænsen,the border
mørket,the darkness
drage,Dragon
bukser,pants
savne,miss
begyndelsen,the beginning
privat,private
ur,clock
prisen,the price
pres,pressure
Simon,Simon
flyttet,moved
Roger,Roger
ted,Ted
betyde,mean
frankrig,France
cirka,about
beskytter,Protects
Daniel,Daniel
amerikansk,American
gid,may
mændene,the men
bytte,exchange
trist,sad
stationen,The station
skjule,hide
Chuck,Chuck
angriber,attacker
gar,walks
uh,Uh
næ,Well
vest,west
fine,Fine
falsk,FALSE
succes,success
omgang,lap
eftermiddag,afternoon
heste,Horses
nyder,enjoy
køkkenet,the kitchen
eksisterer,exists
vågner,Waking up
flyttede,moved
prins,Prince
sekund,second
forslag,proposals
størrelse,size
bygning,building
stærkere,stronger
skylden,blame
ordnet,sorted
kaldt,called
undskyldning,apology
aiie,Aiie
derover,over there
information,information
Alan,Alan
Lisa,Lisa
smidt,thrown
tillid,confidence
lukkede,closed
papirer,papers
spiste,ate
bruges,used
ryge,smoke
rejste,traveled
nedenunder,below
Matt,Matt
imponerende,impressive
varer,Items
voksen,adult
seneste,most recent
græde,cry
Barry,Barry
fuldt,Full
leg,play
tyve,thieves
herned,Here
Eric,Eric
alarm,Alarm
syge,Sick
morderen,the killer
meste,most
forstod,understood
skiderik,skiing
Alice,Alice
forbudt,forbidden
nyde,enjoy
årevis,for years
sande,TRUE
you,You
rar,pleasant
syn,vision
Edward,Edward
hjernen,the brain
Grace,Grace
begynd,Begin
snakket,talked
agenter,agents
foretrækker,prefer
porten,The gate
hud,skin
lyde,Sounds
rolle,role
radioen,the radio
boss,Boss
king,King
vædde,bet
opfører,behaves
college,College
blodet,the blood
gudskelov,thank God
adresse,address
gentager,Repeat
veninde,friend
bid,bite
væggen,the wall
tab,loss
tim,Tim
scott,Scott
ledt,led
beskidte,dirty
fløj,flew
sørger,Makes
farten,the speed
opdagede,discovered
please,Please
adam,Adam
næse,nose
forvirret,confused
troet,believed
hemmelige,Secret
vendt,turned
jakke,jacket
vanvittig,crazy
overrasket,surprised
tjekker,checks
kold,cold
kameraet,the camera
griner,laughing
bring,Bring
øre,ear
vagter,guards
arme,arms
jøsses,Jøsses
lufthavnen,the airport
maskine,machine
mandag,Monday
kaster,Throws
enige,Agree
grønne,green
udstyr,equipment
forsøgt,tried
regnede,rained
nyd,Enjoy
sider,pages
inviteret,invited
foreslår,suggests
bekendt,acquaintance
vogn,wagon
eventyr,fairy tale
bruce,Bruce
gandalf,Gandalf
samarbejde,Cooperation
herregud,Jesus Christ
panik,panic
yderst,EXTRA
skynde,Hurry
kroppen,The body
kirke,church
lignende,similar
drej,Turn
firmaet,the company
bande,gang
bragte,brought
turen,the trip
sej,cool
herop,Here
året,the year
oversat,Translated
papir,paper
fejltagelse,mistake
vare,product
betalte,paid
personlige,personal
carl,Carl
kvarter,quarter
kilo,kilo
temmelig,quite
californien,California
igang,on it
fair,Fair
fransk,French
forklaring,explanation
rock,Rock
heroppe,up here
normal,normal
kelly,Kelly
dækker,covers
mørkt,dark
speciel,special
sovet,Sleep
nøglerne,the keys
vover,dare
hemmeligt,secretly
fortjent,deserved
lykkedes,succeeded
skaf,SKAF
test,Test
top,top
plus,plus
vort,Our
advarsel,warning
stjæler,stealing
båndet,the tape
efterlader,Leaving behind
redder,Rescuer
sara,Sara
håbe,hope
tunge,tongue
knægten,The kid
vigtige,Important
standse,stop
victor,Victor
lød,sounded
tvivler,Doubt
morgenen,the morning
øst,east
acceptere,accept
tanken,the thought
solgt,SOLD
derop,up there
amy,Amy
hjørnet,the corner
gor,do
tilstand,condition
skræmmer,scares
hustru,wife
undtagen,except
in,In
hunden,The dog
forretninger,businesses
glimrende,Excellent
kugler,Bullets
frit,free
samler,Collector
tilfreds,satisfied
spurgt,asked
bomben,The bomb
behøvede,needed
levede,lived
kæmpede,fought
gammelt,Old
livs,Life
sporet,The track
skader,Damage
forsvare,defend
marcus,Marcus
iige,Iige
gem,Save
ta,toe
trussel,threat
benene,the legs
opdaget,Discovered
overlevede,survived
starten,beginning
ca,Ca
skræmmende,daunting
rask,healthy
spøg,joke
solgte,sold
kim,Kim
flaske,bottle
service,service
rose,rose
bravo,Bravo
farve,color
ron,Ron
gi,GI
fortiden,currently
trak,pulled
idioter,idiots
almindelig,ordinary
scenen,The scene
roy,Roy
derned,down there
underlig,Strange
banker,Banks
kage,cake
park,park
vold,violence
synger,Singing
tydeligt,clearly
whoa,Whoa
fingre,fingers
cole,Cole
bane,Lane
grav,grave
fremme,Promoting
takket,thanks
højhed,Highness
træning,work out
team,Team
Europa,Europe
virkelige,real
fingeraftryk,fingerprint
Hitler,Hitler
myrdede,murdered
assistent,assistant
amen,Amen
Lewis,Lewis
springer,Springer
monster,pattern
kneppe,fuck
hårde,hard
endte,ended
involveret,involved
angribe,attack
Jackson,Jackson
anelse,suspicion
sejr,victory
russerne,The Russians
Chicago,Chicago
lift,Lift
ånd,spirit
vendte,turned
slemme,bad
gæst,guest
bjergene,the mountains
star,Star
gad,Gad
præcist,spot on
ku,Ku
lås,lock
nøgle,key
begravet,buried
lettere,easier
skabte,created
latterligt,Ridiculous
sprang,jumped
forsvar,Defense
diskutere,discuss
hils,Greetings
månen,the moon
sexet,Sexy
regering,government
pligt,duty
etage,floor
handel,Trade
weekend,weekend
post,mail
Connor,Connor
dækket,covered
herligt,lovely
regnet,rained
gætte,guess
takker,Thank you
dom,Judgment
brudt,broken
formoder,suppose
heks,witch
Elizabeth,Elizabeth
Howard,Howard
løgner,liar
kopi,copy
grim,ugly
Sydney,Sydney
næsen,the nose
piper,Piper
miles,Miles
præst,priest
Susan,Susan
dukke,doll
engel,angel
fantastiske,amazing
piller,Pills
Berlin,Berlin
lady,Lady
hoppe,jump
projekt,project
bekræftet,confirmed
afslutte,quit
vinden,the wind
fremmed,stranger
geni,Geni
hopper,jumps
avisen,the newspaper
uskadt,unharmed
dukkede,dolled
myrde,murder
Kyle,Kyle
besluttede,decided
skæbnen,The destiny
medlem,member
halløj,Hello
røvhuller,assholes
aftalen,The deal
borte,away
dets,its
fælles,common
svømme,swim
spring,Spring
folks,People's
sygdom,disease
søndag,Sunday
modig,brave
nævnte,mentioned
jagt,Hunting
Tyler,Tyler
hemmeligheder,Secrets
dertil,Add to that
ansvarlig,responsible
gãr,walks
fortid,ahead of time
gæld,debt
viden,knowledge
svag,weak
lovet,promised
dagens,Today's
græder,crying
baren,the bar
krav,requirements
Johnson,Johnson
enhed,unit
Emily,Emily
kunst,art
fjerde,fourth
frk,Ms
jenny,Jenny
high,High
shit,Shit
pr,per
elsket,Loved
drømmer,Dream
phil,phil
moder,mother
helikopter,helicopter
ensom,lonely
sandhed,truth
beholder,container
nøgen,naked
mordet,the murder
førte,led
opdager,detects
derud,Out there
maggie,Maggie
forklarer,explains
handle,Act
biiver,Biiver
tændt,turned on
klient,client
vognen,The wagon
slutte,end
hollywood,Hollywood
tilgive,forgive
el,EL
bunden,the bottom
siges,said
chokolade,chocolate
mave,stomach
maven,The stomach
pund,pound
via,Via
vidner,Witnesses
vidunderlig,wonderful
løsning,solution
dick,Dick
rejst,raised
indrømme,admit
officer,officer
køb,purchase
dømt,convicted
pæn,on a
ross,Ross
sadan,such
voksede,grew
frygtelig,terrible
fang,Fang
tøjet,the clothes
dæmon,demon
guder,gods
afgang,take off
løn,pay
uskyldige,Innocent
indeni,inside
svær,difficult
byde,bid
ogsa,also
årig,year old
mødet,the meeting
slutter,ending
forhindre,prevent
stan,Stan
brand,fire
grunde,Reasons
hjæip,HEART
strømmen,the power
køn,sex
spilde,wasted
formål,purpose
stadigvæk,still
hjæipe,Hjæipe
interesse,interest
behov,need
musikken,the music
pressen,The press
imens,Meanwhile
politik,Politics
begik,committed
jaså,Jaså
sikken,Whatings
følelse,feeling
kassen,the box
texas,Texas
skærer,cutting
fan,Fan
parker,Parker
stoppet,stopped
springe,skip
skræmme,scare
mirakel,miracle
nyhederne,the news
skaffer,Gains
hensyn,regards
indre,internal
spilder,wastes
terry,Terry
sårede,wounded
fordel,advantage
forfærdelig,terrible
rykker,Rubborn
eiier,Eiier
kommandør,commander
ønsket,Wanted
mobil,mobile phone
sår,wound
fangede,Caught
talent,talent
skjult,hidden
forresten,By the way
overlevende,survivor
modtager,recipient
sommer,summer
højeste,highest
skørt,skirt
straf,punishment
nyhed,News
hvorhen,where
monsieur,Monsieur
mælk,milk
skibe,Ships
wayne,Wayne
jeff,Jeff
falske,fake
harold,Harold
banke,Banke
flotte,Great
forsinket,delayed
kontakte,contact
øjet,the eye
hospital,hospital
teori,theory
vokser,Growing
laura,Laura
black,Black
ligefrem,straightforward
måder,ways
træffe,meet
duer,you are
abby,Abby
kærligheden,the love
sært,Strange
bryster,breasts
brændte,Burned
ligne,look like
amerikanere,Americans
tekster,texts
guderne,The gods
champagne,champagne
programmet,The program
yo,yo
besat,obsessed
tyv,thief
erfaring,experience
overveje,consider
brændt,burnt
niveau,level
tirsdag,Tuesday
alvorlig,serious
urolig,uneasy
slukke,extinguish
græd,Cry
familier,Families
teknisk,technical
dronningen,The Queen
midten,the middle
rager,rags
driver,Driver
joke,Joke
milde,Mild
mennesket,Man
drak,Drank
vagterne,The guards
fejre,celebrate
pizza,Pizza
smage,Taste
frygteligt,terrible
dækning,coverage
sludder,gossip
staten,the state
potter,Potter
fryser,freezer
risiko,risk
knust,crushed
kilde,source
ladet,charged
anede,suspected
rede,nest
whisky,Whiskey
nøgler,keys
julie,Julie
slik,candy
station,station
døende,dying
ride,ride
butikken,the store
tvunget,forced
Lincoln,Lincoln
inspektør,inspector
hemmelig,secret
lykkes,successful
publikum,audience
finger,finger
vanvid,frenzy
byggede,built
flink,nice
tilbyde,offer
russiske,Russian
blik,look
billetter,Tickets
forstyrrer,disturbs
beskyttelse,protection
skønne,Lovely
kraften,the force
koden,the code
Harvey,Harvey
universitetet,the University
værelset,the room
ryk,RUN
kælderen,The basement
ført,led
skøn,discretion
nosser,Noses
kolde,Cold
spion,spy
fantasi,fantasy
forbrydelse,crime
midnat,midnight
søen,the lake
begå,commit
vant,accustomed
byens,the city's
passende,appropriate
torsdag,Thursday
betød,meant
brud,Bride
udvej,way out
tænd,switch on
uret,the clock
stilling,position
mærker,brands
udføre,perform
spore,track
forleden,the other day
drømte,dreamed
gaver,gifts
ulovligt,illegally
skræmte,scared
bus,bus
weekenden,the weekend
højst,highest
tillade,allow
skændes,quarrel
grave,dig
muren,the wall
bundet,tied
olie,oil
hals,throat
scene,Scene
bygger,Building
on,on
hilse,greet
ondskab,evilness
bevæge,move
konstant,constant
jean,Jean
ligeså,Likewise
punkt,point
linje,line
advare,warn
enheder,devices
kasse,box
afsløre,reveal
nærmest,closest
herud,out here
sammy,Sammy
skuespiller,actor
glor,stare
fjernet,removed
åbent,Open
begået,committed
biev,Beev
fingrene,the fingers
hank,handle
vågne,wake
planeten,The planet
ankommer,arrives
tjekket,checked
berømt,famous
jomfru,Virgin
restaurant,restaurant
magten,the power
brown,Brown
kontrollere,check
angår,concerning
flugt,escape
tyskland,Germany
kina,China
legetøj,toy
skuffet,disappointed
fodbold,football
kilden,The source
id,ID
mm,mm
narre,fool
forfra,over again
mene,mean
skønhed,beauty
annie,Annie
stiger,rises
celle,cell
opgaven,the task
katie,Katie
slutningen,the end
veje,Roads
gordon,Gordon
simpelthen,Simply
ører,ears
sally,Sally
øjeblikket,the moment
heldigvis,fortunately
pga,Due to
betydning,importance
forestil,Imagine
franske,French
simpelt,Simple
billederne,The pictures
amerikaner,American
tydeligvis,Obviously
luke,Luke
pisse,Piss
rådet,the advice
stået,stood
sikkerheds,security
humør,mood
lider,suffering
professionel,professional
missionen,the mission
frankie,Frankie
miami,Miami
maskinen,the machine
miller,Miller
ligegyldigt,No matter
bauer,Bauer
berømte,famous
tyske,German
morgan,Morgan
breve,letters
briller,glasses
åbnede,opened
ansatte,employees
opførsel,behavior
indblandet,interfered
showet,the show
taylor,Taylor
derek,Derek
invitere,invite
udenom,outside
grad,degree
lejligheden,the apartment
spild,waste
forandret,changed
greg,Greg
jaloux,jealous
video,Video
penny,Penny
retfærdighed,Justice
ilden,the fire
signalet,the signal
sandelig,indeed
aflevere,hand in
sjove,Funny
helte,Heroes
Boston,Boston
patient,patient
Jesse,Jesse
brækket,broken
erne,are
benzin,petrol
gemte,saved
tingest,thing
model,model
Jackie,Jackie
søstre,sisters
kriger,warrior
smadre,smash
marshall,Marshall
west,West
kontrakt,contract
strålende,brilliant
imorgen,tomorrow
ændrede,changed
Angela,Angela
håbet,the hope
status,Status
vãre,product
race,race
regn,rain
tilbyder,provides
melder,Report
kontakter,Contacts
journalist,journalist
vrøvl,nonsense
færdigt,done
menneskelige,human
taxi,cab
skift,shift
træne,train
kunnet,been able
typisk,typical
jage,hunt
smadrer,smashes
eks,Ex
oven,Oven
karl,Karl
skygge,shade
bløder,bleeding
brylluppet,The wedding
fornemmelse,sensation
my,My
normale,Normal
søge,search
amok,Amok
undskylder,Apologies
bang,Bang
politimand,police officer
klogt,wise
Patrick,Patrick
flåden,The fleet
iidt,iid
eftersom,since
århundrede,century
grøn,green
Linda,Linda
efterladt,left behind
nigger,nigger
robot,robot
gengæld,SECOND
ost,cheese
drive,drive
vaske,wash
kommissær,Commissioner
arresteret,arrested
nummeret,number one
vågnede,woke
damen,The lady
levet,lived
udover,Besides
ansat,Employed
pilot,pilot
sprænge,blow up
April,April
forskellen,the difference
konen,The wife
dyb,deep
trænet,Trained
tiibage,tiibage
junior,junior
skar,cut
trick,trick
Sean,Sean
ejendom,property
håret,the hair
harjeg,have I
basen,the base
romantisk,romantic
timen,the hour
sorg,grief
storm,storm
forsigtigt,Gently
sandy,Sandy
rider,rides
boksen,the box
vampyr,vampire
træer,trees
ræk,Row
grine,laugh
subtitle,Subtitle
elever,students
farlige,Dangerous
tank,tank
teknologi,technology
tusinde,Thousand
behandling,treatment
vindue,window
bold,ball
sænk,Lower
væsen,creature
velsigne,bless
sukker,sugar
lou,Lou
lortet,The shit
forberedt,Prepared
lær,learn
stolte,proud
villig,willing
skær,glow
las,lock
fandme,dammit
årh,Årh
behandler,treat
frie,free
forlad,Leave
garanteret,Guaranteed
lejr,camp
chancer,chances
røveri,robbery
Wilson,Wilson
emma,Emma
farmand,Farmer
hullet,the hole
forstyrre,disturb
natur,nature
føreren,The driver
huh,Huh
forbundet,connected
paige,Paige
forlovede,fiancé
vanvittigt,crazy
spark,kick
begravelse,funeral
jordens,Earth's
æren,the honor
kunder,Customers
le,scythe
detaljer,Details
angel,Angel
rotte,rat
fejler,fails
drukket,drunk
bestemme,determine
undskyldt,Sorry
tomme,empty
white,White
grimme,ugly
lander,lands
nylig,recent
seiv,Seiv
billet,ticket
ansvaret,Responsibility
kaos,chaos
gale,mad
jakkesæt,suit
baseret,based
tropper,troops
more,amuse
tillader,Allows
vincent,Vincent
trukket,drawn
sandsynligvis,probably
taxa,cab
skub,push
beskidt,dirty
armen,The arm
private,private
befinder,is located
fungere,function
vampyrer,Vampires
afdelingen,The department
nettet,online
Francisco,Francisco
lignede,looked like
sejle,sail
spøgelse,ghost
rob,Rob
femte,Fifth
træder,steps
dørene,the doors
hadede,hated
ambulance,ambulance
pointen,the point
boet,lived
vind,wind
strøm,power
gore,do
dav,Dav
beskeden,the message
indsats,effort
erjeg,am I
Stanley,Stanley
tilsyneladende,Apparently
charmerende,charming
fysisk,physical
ait,Ait
sønnike,Sonike
træde,step
lette,Light
træet,the tree
art,nature
laboratoriet,the laboratory
inviterede,invited
sejler,Sailing
våbnet,weapon
smadret,Smashed
numre,Numbers
babyen,The baby
fjerner,Removes
nakken,The neck
hukommelse,memory
had,hate
nemmere,easier
untranslated,Untranslated
kommandoen,the command
so,lake
blade,Leaves
råbe,shout
russisk,Russian
anklager,prosecutor
elevatoren,the elevator
generer,Generate
skuiie,Skuiie
verdenen,the world
times,Times
turner,Turner
folkene,The people
indse,realize
merlin,Merlin
overvejer,Considering
kinesisk,Chinese
kompliceret,complicated
afhænger,depends
formue,assets
drømt,dreamed
begår,commits
ukendt,unknown
computeren,the computer
jedi,Jedi
neo,Neo
bevare,preserve
byder,offers
åbnet,opened
strisser,Strisses
tasken,the bag
vigtigere,more important
menneskeheden,humanity
døre,doors
kejseren,The Emperor
uniform,uniform
dejlige,lovely
one,One
skab,cabinet
stig,Stig
clark,Clark
rettigheder,Rights
skjuler,Hides
hvorfra,from where
moderne,modern
lækre,delicious
nysgerrig,curious
sædvanlige,usual
bønner,prayers
gætter,guesses
charlotte,Charlotte
officielt,Officially
universet,The universe
langs,along
shh,Shh
betty,Betty
middagen,Dinner
affære,affair
sindssyge,insanity
Doug,Doug
genkender,recognizes
ørkenen,desert
borgmester,mayor
indså,realized
saml,Saml
up,up
rødt,Red
helen,Helen
undersøger,investigates
sønner,sons
ekspert,expert
kaldet,Called
skrider,is progressing
fugle,Birds
derhenne,over there
total,total
butik,Store
trappen,the staircase
fulgt,followed
rimelig,reasonable
rørte,touched
skatten,the tax
hæng,Hang
voksne,adults
salt,salt
lyden,the sound
tvang,Forced
kastede,threw
stukket,stabbed
sommetider,Sometimes
mordere,Murderers
kedeligt,boring
helvedes,Hell
nærmeste,closest
æde,eat
aidrig,Aidrig
bevæbnet,armed
mã,must
rick,Rick
ungerne,The kids
samtidig,simultaneously
ridder,knight
cody,Cody
ankom,arrived
vokse,grow
slange,snake
brækkede,broke
svære,hard
collins,Collins
giftede,married
grib,vulture
milliarder,billions
droppe,drop
river,River
hade,hate
vietnam,Vietnam
andrew,Andrew
kontrollen,the control
smerten,the pain
kanon,cannon
sagtens,Easy
dæmoner,Demons
overtage,take over
undersøgt,investigated
sigte,aim
alvor,seriousness
knuse,crush
genkende,recognize
wade,Wade
dommeren,the judge
sku,Sku
flyvende,Flying
tolv,twelve
hit,Hit
afgjort,settled
klædt,dressed
trin,step
evighed,eternity
vælg,choose
klæder,clothes
nancy,Nancy
ordentlig,proper
brad,Brad
fjolser,fools
lykkelige,Happy
be,be
grønt,green
anakin,Anakin
omstændigheder,circumstances
gyldne,golden
kollega,colleague
grant,Grant
venskab,friendship
ansigter,faces
katastrofe,disaster
opføre,erect
kampe,matches
løgne,lies
risikere,risk
rende,Rende
oversættelse,translation
afrika,Africa
todd,Todd
halve,half
deltage,take part
gifter,Married
benet,The leg
evne,ability
måden,the way
kraftedeme,the power
eva,Eva
rusland,Russia
lillebror,little brother
bryst,breast
ho,hay
drager,dragons
flygter,flees
læger,doctors
støtter,Supports
nåh,Oh
profil,profile
rørt,touched
siddet,sat
sikret,secured
virus,virus
dansk,Danish
tisse,pee
svinet,pig
nævne,mention
jersey,Jersey
fu,Fu
yderligere,more
kvinderne,The women
løst,solved
ideer,Ideas
uhyre,monster
stolthed,pride
vække,wake
sving,swing
samling,collection
opnå,obtain
imponeret,Impressed
josh,Josh
godkendt,Approved
bevægelse,movement
fjernsynet,television
detektiv,detective
bekæmpe,combat
røvfuld,asshole
løft,lift
jager,hunting
svarede,replied
ammunition,ammunition
højde,height
green,Green
rydde,clear
artikel,Article
såre,hurt
cowboy,Cowboy
ankommet,arrived
mia,Mia
tilbringe,spend
trykke,press
koste,cost
snyde,cheat
favorit,favorite
håndtere,handle
desperat,desperate
direktør,Manager
indeholder,Contains
forventede,Expected
stede,present
rygter,Rumors
julemanden,Santa Claus
fisse,Pussy
hoid,Hoid
skabet,The closet
informationer,Information
magiske,Magic
spændt,tense
kung,Kung
forskning,research
rækker,rows
taknemmelig,grateful
kunde,customer
megen,much
æder,eats
teddy,Teddy
kanal,channel
pinligt,embarrassing
ms,MS
tilgiver,Forgiver
heldigt,lucky
blande,mix
startet,started
sjæle,Souls
hesten,The horse
knibe,pinch
kyssede,kissed
varmen,the heat
handlede,acted
karen,Karen
nøjagtig,accurate
sans,Sense
bider,biting
mistænkt,suspected
benjamin,Benjamin
jill,Jill
mac,Mac
fbl,FBL
kontanter,cash
medlemmer,Members
skjorte,shirt
forfatter,author
bomber,bombs
kæmpet,fought
senatet,Senate
tysk,German
klubben,The club
monica,Monica
hoveder,Heads
yngre,Younger
kriminelle,criminals
slaver,Slaves
flygtede,fled
melde,report
fortabt,lost
stammer,originates
isen,The ice
selve,The very thing
spar,save
befri,free
dyrt,expensive
kriminalbetjent,criminal officer
freddy,Freddy
svage,Weak
fortryde,regret
elev,student
menneskelig,human
stark,Stark
stjerner,Stars
modstand,resistance
hjælpen,the help
svaghed,weakness
civile,civilians
forhandle,negotiate
reb,rope
bjerget,the mountain
årsag,cause
handlinger,Actions
hermed,herewith
me,Me
Jennifer,Jennifer
modtage,receive
beskeder,Messages
tyskerne,The Germans
storartet,Great
troldmand,Wizard
gu,Gu
Anderson,Anderson
undersøgelse,examination
hjulpet,helped
identitet,identity
uddannelse,education
mulige,possible
Caroline,Caroline
pistoler,Guns
skinner,shines
gade,Riddle
stige,increase
faktum,fact
parken,the park
repræsenterer,represents
island,Iceland
bro,bridge
advokater,Lawyers
ian,Ian
Barbara,Barbara
kommando,command
tip,tip
jeps,Yeps
helikopteren,the helicopter
daggry,dawn
truer,threatening
militæret,the military
Florida,Florida
badeværelset,bathroom
school,School
konto,account
sne,snow
klub,club
stodder,Stodder
usædvanligt,unusual
rodet,messy
skåret,cut
handling,action
naturen,the nature
faret,Far
boy,Boy
åhh,Ohh
vejr,weather
presse,Press
sluppet,released
sport,sport
ulækkert,disgusting
kujon,coward
byer,Cities
villet,WILL
dyrebare,precious
prue,prue
moskva,Moscow
diamanter,Diamonds
påstår,claims
runde,round
pak,Pack
trykker,push
sol,sun
behandle,treat
homer,Homer
våbnene,the weapons
personlig,personal
pjat,nonsense
huse,Houses
pyt,Never mind
narrøv,NARRØV
sådanne,Such
forræder,traitor
tøser,cocks
ford,Ford
per,Per
modsatte,opposite
logan,Logan
brevet,the letter
udtryk,expression
aaron,Aaron
fornuft,sense
landsby,village
narko,Drugs
sindssygt,insane
behandlet,treated
band,Band
niks,Nick
accepterer,Accepts
fremskridt,progress
passede,fit
planlægger,plan
dean,Dean
krone,Crown
chauffør,driver
presset,pressed
onsdag,Wednesday
master,Master
no,no
andres,others
øverste,top
hvidt,white
nødig,Needy
smukkeste,most beautiful
nævnt,mentioned
opdage,discover
ko,cow
raymond,Raymond
forblive,remain
reaktion,reaction
knepper,fucking
jacob,Jacob
forbliver,remain
dømme,judge
tvinge,Forcing
pakket,Packed
udvalgte,selected
værk,work
tiger,tiger
kæmp,Fight
stof,fabric
sjældent,rarely
besøger,visiting
fester,parties
rocky,Rocky
kysten,the coast
konkurrence,competition
samlede,Collected
røret,the tube
virginia,Virginia
tracy,Tracy
tørre,dry
overbevist,confident
cigaret,cigarette
synder,sinner
bjørn,bear
jessica,Jessica
lejren,The camp
overfladen,the surface
tælle,count
afsluttet,finished
junglen,The jungle
beth,Beth
marie,Marie
hentede,picked up
bli'r,Bli'r
atjeg,that I
earl,Earl
værdsætter,appreciate
bind,Bind
kræft,cancer
afgøre,decide
savnede,Missed
chok,shock
diego,Diego
råber,yells
biblioteket,the library
pladser,Seats
nytter,Use
føde,food
bestilt,ordered
samfund,community
avis,newspaper
bemærket,noticed
cigaretter,Cigarettes
rigeligt,plenty
fødselsdagen,birthday
juni,June
base,Base
øve,practice
skriger,Screaming
tusindvis,Thousands
lavt,low
buddy,Buddy
ydre,exterior
anne,Anne
grand,Grand
port,gate
gevær,gun
bløde,soft
samt,as well
bagud,Back
operationen,the operation
udseende,appearance
kuglen,The ball
sygeplejerske,Nurse
skadet,hurt
forventet,Expected
kloge,Wise
jay,Jay
skyldes,owed
nuværende,present
rapporter,Reports
kristus,Christ
slave,slave
patienter,Patients
nakke,Neck
blinde,blind
osse,OSSE
boller,Buns
