Danish,English
skubbe,push
stjernerne,The stars
carol,Carol
engelske,English
irriterende,annoying
emne,subject
willy,Willy
fylde,fill
deling,Sharing
fjollet,foolish
forhåbentlig,hopefully
udsat,exposed
eksamen,examination
maskiner,machines
blød,soft
bestille,order
sæk,sack
it,It
albert,Albert
hårdere,harder
afbryde,interrupt
mikey,Mikey
menneskene,The people
motoren,the engine
von,von
pointe,Point
score,Score
indtryk,impression
politisk,political
komplet,complete
våd,wet
bella,Bella
putte,put
mode,fashion
sloane,Sloane
hjerter,hearts
amanda,Amanda
gris,pig
nabo,neighbor
tæppe,blanket
nicholas,Nicholas
september,September
virkelighed,reality
beundrer,admirer
drinks,Drinks
bolle,bully
pä,on
cooper,Cooper
houston,Houston
katherine,Katherine
fort,Fort
utro,cheat on
spejlet,the mirror
overtager,takes over
regning,bill
generalen,The General
beskyttet,Protected
heie,HEIE
amerikanerne,Americans
ethvert,every one
loftet,the ceiling
følgende,following
forbandelse,curse
søgte,sought
klippe,cut
metal,metal
pakker,Packages
smiler,Smiles
gruppen,The group
sparke,kick
olivia,Olivia
myndighederne,the authorities
forrest,front
udstyret,equipment
samvittighed,conscience
brænd,Burn
vægt,weight
kr,Kr
hughes,Hughes
tjekkede,checked
andel,share
julen,Christmas
tjente,served
tomt,emptied
ånder,spirits
ann,Ann
forvente,expect
opgive,abandon
meldte,reported
skjulte,hidden
løfter,Promises
skrivebord,desk
styrker,forces
hot,Hot
slaget,the battle
snød,cheated
enestående,unique
lån,loan
lastbil,lorry
bridget,Bridget
chloe,Chloe
siddende,Sitting
skræmt,frightened
hule,cave
kok,chef
elena,Elena
gary,Gary
reed,Reed
vinger,wings
ligeglade,indifferent
gibbs,Gibbs
skiftet,the changed
tjent,earned
gates,gates
rasende,furious
militær,military
grænser,borders
dale,Dale
august,August
rotter,rats
desto,the
gaderne,The streets
forvejen,already
brystet,the chest
japan,Japan
oplevelse,experience
linie,Line
undrer,wonders
fødderne,the feet
advarede,warned
omvendt,vise versa
pose,bag
cm,cm
sä,so
kysser,Kissing
frivilligt,Volunteer
mulig,possible
minister,minister
gule,Yellow
duke,Duke
dages,Days
kastet,thrown
friske,fresh
mars,Mars
rapporten,The report
kur,cure
binde,tie up
elendig,miserable
psykopat,psychopath
afsløret,revealed
nordpå,north
fjernsyn,Television
nytte,benefit
knogler,Bones
oplevet,experienced
bla,Among other things
sektor,sector
tynd,thin
tung,heavy
sværere,harder
robin,Robin
kostede,cost
sofaen,the sofa
mil,mile
shrek,Shrek
borgmesteren,The mayor
studerende,student
austin,Austin
almindelige,common
katten,the cat
sygt,sick
evig,eternal
kærester,lovers
boks,box
salg,Sales
manglede,was missing
kilder,Sources
kirk,Kirk
vinderen,the winner
bund,bottom
opleve,experience
surt,Sour
oktober,October
gården,the farm
støvler,boots
foretage,make
værdi,value
sophie,Sophie
ken,Ken
sværdet,The sword
blæser,fan
alarmen,the alarm
skuffe,disappoint
ronnie,Ronnie
sandwich,sandwich
tina,Tina
je,Je
jøde,Jew
stillet,Posted
williams,Williams
røget,smoked
rykke,jerk
menneskets,Man's
fræk,naughty
forberede,prepare
tilbød,offered
lugt,smell
sky,cloud
overbevise,convince
greb,grip
rådne,rot
udført,performed
hviler,rests
specielle,special
baseball,Baseball
fakta,FACTS
prøven,the test
cykel,bike
ærgerligt,Too bad
mægtige,Grand
tænde,switch on
beviserne,the evidence
seje,cool
systemer,Systems
jin,Jin
korporal,corporal
kg,kg
øvelse,exercise
ethan,Ethan
dennis,Dennis
national,national
drab,killing
søg,Search
fattige,Poor
træerne,the trees
ryster,is shaking
kørekort,driver's license
ordren,the order
respekterer,respects
maj,May
kinesiske,Chinese
lenny,Lenny
videnskab,science
afbrudt,disconnected
kongens,The King's
golf,golf
rense,clean
matthew,Matthew
murphy,Murphy
cæsar,Caesar
air,Air
juli,July
donna,Donna
smadrede,smashed
skrige,scream
bidt,bitten
huller,holes
bakke,tray
loyalitet,loyalty
håndjern,handcuffs
midler,Funds
admiral,admiral
fortsat,continued
klogere,Wiser
harris,Harris
ældste,Elder
professionelle,Professional
skærmen,the screen
kommende,upcoming
Francis,Francis
jag,Jag
robinson,Robinson
vagten,the guard
himmel,sky
karakter,Grade
adressen,the address
formand,Chairman
Ellie,Ellie
omringet,surrounded
forsvarer,Defender
na,reach
omme,Omme
Pearl,Pearl
Carrie,Carrie
tålmodighed,patience
besætningen,The crew
leje,rent
kidnappet,kidnapped
gymnasiet,high school
tilladt,allowed
besøgte,visited
zone,zone
mystisk,mysterious
djævel,devil
lake,Lake
løsladt,released
læber,lips
mærkelig,strange
fox,Fox
matrix,matrix
forstanden,The mind
identificere,identify
krigere,Warriors
risikerer,risk
hjørne,corner
smarte,Smart
kameraer,Cameras
sekretær,secretary
muligheden,the opportunity
forlanger,Requires
mus,mouse
graven,The grave
udkig,Looking
kunstner,Artist
andens,another
Carlos,Carlos
Gina,Gina
fyrene,The guys
katte,cats
Dallas,Dallas
Snyder,Cheating
nevø,nephew
tvinger,Forcing
landsbyen,the village
aktiveret,activated
hurtige,Fast
opfør,List
møgsvin,Pigs
samfundet,community
offentligt,in public
dexter,DEXTER
rygte,rumor
mærkelige,weird
foreslå,propose
flag,flag
levere,deliver
kniven,The knife
Michelle,Michelle
central,central
lyttede,Listened
harvard,Harvard
råbte,shouted
dagbog,diary
magisk,magic
omgående,immediately
orker,orcs
føltes,felt
underlige,Strange
hovedpine,headache
rive,tear
naturligt,naturally
steg,roast
Alexander,Alexander
forsiden,Home
anmoder,requests
sommeren,the summer
templet,The temple
sue,Sue
skride,slide
fylder,Filling
Molly,Molly
USA's,USA
interview,interview
offeret,the victim
slottet,The castle
forbryder,criminal
forbindelsen,the connection
gribe,to catch
Jonathan,Jonathan
forræderi,treason
låse,lock
sultne,Hungry
hiv,HIV
Ricky,Ricky
kammerater,Comrades
sange,Songs
mmm,mmm
bingo,Bingo
ctu,CTU
rulle,roll
ka,Ka
frygte,fear
alverden,the world
fascinerende,fascinating
valget,the choice
gã,go
overvejet,considered
grå,Gray
sure,sour
blue,Blue
hjemmefra,from home
strømer,Streams
pension,pension
indflydelse,influence
vokset,grown
dyre,expensive
overraske,surprise
sprænger,blasting
flyv,Fly
Steven,Steven
simpel,simple
nogie,Nogie
papirerne,The papers
forenede,united
kokain,cocaine
ruller,Rolls
fangerne,The prisoners
affyret,fired
suppe,soup
skulder,shoulder
kedelig,boring
snarere,rather
www,www
kanin,rabbit
irak,Iraq
heit,Heit
lomme,pocket
mordor,Mordor
resultatet,the result
vidunderlige,Wonderful
udsigt,view
trykket,pressed
linjen,The line
forsæt,Continue
trætte,Tired
britiske,British
beslutninger,decisions
fatte,Family
studere,study
hængt,Hanged
bland,Mix
sigt,Aim
genialt,brilliant
haven,the garden
alles,Alles
spansk,Spanish
døv,deaf
livets,The life's
besejre,defeat
doktoren,The Doctor
opfandt,invented
do,die
blander,Mixing
spare,save
aviserne,The newspapers
bøde,lived
sebastian,Sebastian
aragorn,Aragorn
stående,standing up
kennedy,Kennedy
utrolige,Incredible
curtis,Curtis
danske,Danish
modstå,withstand
efterlad,Leave
stormen,the storm
tankerne,the thoughts
gus,Gus
th,th
således,thus
cent,cent
fortryder,regrets
grimt,ugly
paradis,paradise
spøgelser,ghosts
fase,phase
pung,wallet
ballet,Ballet
Nathan,Nathan
indrømmer,admit
sheriffen,the sheriff
morer,Mother
tværs,Cross
bekymring,concern
følt,felt
serie,series
spyt,saliva
tusinder,Thousands
tales,Tales
forbindelser,connections
vejer,weighs
korte,driving
vært,host
brændstof,fuel
udfordring,challenge
spænd,Tension
negativ,negative
natalie,Natalie
smerter,Pain
guldet,The gold
rimeligt,reasonable
morpheus,Morpheus
lederen,person in charge
knald,Big
november,November
afbryder,circuit breaker
øvrigt,Other
skrig,cry
lykkeligt,Happy
universitet,University
bagi,Behind
hvil,rest
agter,Agent
mægtig,mighty
kapitel,chapter
koncentrere,concentrate
formentlig,Presumably
pille,pill
ta'r,Ta'r
banden,The gang
flyder,Flows
beskrive,describe
penis,penis
kongelige,Royal
lntet,lnet
bestilte,ordered
farfar,grandfather
fortæi,Fortæi
sd,SD
pladsen,the space
opgaver,Tasks
værst,worst
ligemeget,does not matter
joseph,Joseph
bjerg,mountain
fingeren,the finger
revet,torn
oliver,Oliver
sparrow,Sparrow
består,consists
mistanke,suspicion
sparker,kicks
gader,streets
affald,trash
markedet,the market
fyrer,fires
tabere,Losers
hersker,ruler
måltid,meal
cindy,Cindy
brækker,Breaks
forfærdelige,terrible
pæne,pretty
nem,Easy
udnytte,take advantage of
tilfældigvis,coincidentally
metoder,Methods
slukket,turned off
vældig,mighty
seriøs,serious
selvføigelig,Overall
særlige,special
kuffert,suitcase
gennemgå,review
alkohol,alcohol
leonard,Leonard
såsom,like
skyggen,The shade
tungt,Heavy
djævlen,the devil
skille,Separate
venlige,friendly
tyder,suggests
nordlige,northern
kram,Hug
dragt,suit
insisterer,insists
Danish,Danish
keder,bored
reparere,repair
fãr,sheep
evan,Evan
fortjente,deserved
frakke,Coat
krydse,Cross
restauranten,the restaurant
spildt,wasted
flod,River
richie,Richie
hentet,picked up
gentage,repeat
special,Special
tekst,text
tosse,Tossing
indbrud,Burglary
forlovet,engaged
legende,legend
undskyid,Expukyid
lawrence,Lawrence
bekræfte,confirm
centrum,center
Mickey,Mickey
tyk,thick
patter,teats
palmer,Palms
just,just
udviklet,Developed
aftensmad,dinner
truffet,trapped
blomst,flower
antal,number
skred,Shipping
bart,Bart
kvik,Kvik
søns,Son
støv,dust
pirat,pirate
skrub,Scrub
nøje,closely
kusine,cousin
walker,Walker
center,Center
bishop,Bishop
heroin,heroin
grænse,limit
avenue,Avenue
engle,Angels
betragtning,consideration
brors,Brors
gut,Gut
svigter,fails
vic,Vic
cal,Cal
Vaughn,Vaughn
Audrey,Audrey
indien,India
bøn,prayer
venligt,friendly
made,manner
landets,the country's
Hannah,Hannah
slukker,turns off
jordan,Jordan
undergang,Downfall
flydende,liquid
områder,areas
baker,Baker
materiale,material
angrib,Attack
baggrund,background
pragtfuldt,wonderful
rettet,corrected
overgiver,surrenders
toilet,Toilet
kones,Kings
idéer,Ideas
kigget,looked
ryste,shake
hilsen,Regards
sikkerheden,Security
gerningsstedet,The scene of the crime
hoppede,jumped
skuespil,play
zack,Zack
mail,mail
mesteren,the master
hytte,Cabin
rebet,rope
skilsmisse,divorce
advarer,warns
forklar,Explain
klovn,clown
frygtelige,Terrible
lloyd,lloyd
kanten,the edge
frygtede,feared
stilhed,silence
svigtet,let down
com,com
frugt,fruit
stillede,posed
honning,honey
gammeldags,old-fashioned
hundene,The dogs
skæg,beard
duk,DUK
rute,route
mørkets,Darkness
klassen,the class
himlens,Heaven's
jagter,chasing
puls,pulse
bide,bite
indser,realize
flov,embarrassed
erik,Erik
stykket,The piece
warren,Warren
ludere,whores
anholde,arrest
larm,noise
dato,date
walt,Walt
wendy,Wendy
beach,Beach
bunke,pile
riley,Riley
inviterer,invite
vækker,waking
politiske,Political
identificeret,identified
pragtfuld,Great
havnen,The harbor
kejser,Emperor
besvær,trouble
australien,Australia
timers,hours
underskrive,sign
wyatt,Wyatt
sauron,Sauron
skamme,shame
spred,Spread
ry,Ry
slips,tie
forandre,change
gonna,Gonna
tårer,Tears
lev,Live
sydpå,south
sprut,booze
elendige,miserable
jeremy,Jeremy
ånde,breathe
forbered,Prepare
forbrydelser,Crimes
marvin,Marvin
holly,Holly
langsom,slow
minus,minus
stephen,Stephen
menig,private
hang,Hang
spørgsmåi,question
æsel,donkey
malcolm,Malcolm
nicky,Nicky
humor,humor
meddelelse,announcement
flåde,fleet
motor,engine
frygten,the fear
vince,Vince
truet,threatened
hastighed,velocity
mellemtiden,Meanwhile
mørk,dark
bak,BAK
single,Single
kredsløb,orbit
vaek,away
lauren,Lauren
reagerer,responds
ryddet,Cleared
robotter,Robots
syng,Sing
brormand,Bro
græs,grass
kryb,Creep
madame,Madame
bolt,bolt
opringning,calling
traf,traffle
hekse,Witches
hill,Hill
mio,DKK million
daisy,Daisy
transport,Transport
gul,yellow
christine,Christine
football,Football
grebet,The grip
dødelig,lethal
gidsel,hostage
borgere,Citizens
galning,madman
faren,the danger
wallace,Wallace
forstand,sense
tillad,Allow
lektier,homework
holdes,held
feste,party
forgæves,in vain
jess,Jess
fokusere,focus
jøder,Jews
knuser,crush
blåt,blue
snydt,cheated
slapper,relax
ryd,clear
flygtet,escaped
kriminalitet,criminality
gãre,Garden
gabriel,Gabriel
glasset,the glass
vei,Vei
sø,lake
ulv,wolf
trænge,In need
billig,cheap
halvdel,half
terrorister,terrorists
milo,Milo
oprør,rebellion
kroppe,bodies
nøgne,naked
afgørende,essential
offentlig,public
wall,Wall
martha,Martha
oscar,Oscar
stolede,trusted
aber,monkeys
modet,the meeting
kreditkort,Credit card
fiske,go fishing
clay,Clay
craig,Craig
sméagol,Sméagol
kontrollerer,checks
skrue,screw
bur,cage
udvalgt,selected
vodka,vodka
ignorere,ignore
skreg,scream
hyrede,hired
skilles,separated
kontakten,the contact
rådgiver,adviser
peger,Pointing
pastor,pastor
nægtede,refused
tragedie,tragedy
officerer,Officers
afhængig,dependent
ofret,sacrificed
knappen,button
tilfældigt,random
gård,farm
miranda,Miranda
ups,Oops
regningen,the bill
partnere,Partners
optagelse,recording
hestene,The horses
horn,horn
bekræfter,confirms
eve,Eve
sydlige,southern
blæse,blow
lommen,pocket
risikoen,the risk
årige,year old
nøjagtigt,exactly
bagage,luggage
armene,arms
bekymrede,worried
datters,Daughter
måneden,the month
adlyde,obey
kommunikation,Communication
casey,Casey
mobiltelefon,mobile phone
aah,Aah
hævet,raised
gentleman,gentleman
faderen,The Father
regnen,the rain
opmærksom,attentive
ligene,the bodies
forsvaret,defense
kede,bored
flad,flat
afvist,rejected
mur,wall
respektere,respect
saruman,Saruman
bourne,Bourne
stater,States
detaljerne,The details
little,Little
iorden,alright
canada,Canada
skydningen,the shooting
rækkevidde,range
almindeligt,generally
biive,Bay
vasker,Washing
smile,smile
spanien,Spain
bjerge,Mountains
watson,Watson
uhyggeligt,scary
modtog,received
internettet,the Internet
nelson,Nelson
kagen,the cake
dreje,turn
road,Road
arrangeret,arranged
soveværelset,bedroom
gwen,Gwen
moore,Moore
fløjet,flown
allison,Allison
colin,Colin
delta,Delta
landede,landed
underskrevet,signed
begrave,bury
hammer,hammer
enormt,huge
gutterne,The guys
fletcher,Fletcher
lane,borrow
benny,Benny
møg,mug
rejsen,the journey
genert,shy
enorm,enormous
kørende,driving
garagen,the garage
italiensk,Italian
forfølger,pursuing
symbol,symbol
house,House
dværg,Dwarf
bær,berry
tilstedeværelse,presence
justin,Justin
kager,cakes
fiona,Fiona
lfølge,Follow
davis,Davis
jern,iron
periode,period
bi,bee
forandring,change
motorcykel,motorcycle
udslette,Wiped out
personale,staff
mel,flour
vask,wash
cirkus,circus
sund,healthy
ordene,The words
syne,sight
nuttet,cute
allen,Allen
klæde,cloth
ment,ment
forbrydere,Criminals
igår,yesterday
merry,Merry
tilintetgøre,destroy
feber,fever
pan,Pan
nødsituation,emergency
organisation,organization
sprede,spread
helbred,health
fans,Fans
sjette,Sixth
praktisk,practical
aviser,newspapers
billigt,cheap
allierede,Allies
lufthavn,airport
reese,Reese
posen,The bag
megan,Megan
svigtede,failed
version,version
koner,wives
undvære,do without
truede,threatened
spillere,Players
foretager,doing
tand,tooth
hong,Hong
ordnede,arranged
dybere,deeper
præsidentens,the president's
fjendens,enemy
laboratorium,laboratory
bell,Bell
stirrer,stare
djævelen,the devil
teknik,technique
putter,Putter
trøst,comfort
blandet,mixed
sejl,Sail
guide,guide
spredt,scattered
overfaldet,assaulted
pot,Pot
lorte,shit
quinn,Quinn
hurra,Hurray
sy,sew
rystet,shaken
brødrene,the brothers
farver,Colors
styrtede,crashed
bagagerummet,the trunk
brooklyn,Brooklyn
undervise,teach
dufter,smells
driller,teasing
ejeren,the owner
mystiske,mysterious
lucas,Lucas
ged,goat
krise,crisis
antager,Assuming
forretningen,The business
lag,layer
dyrke,cultivate
long,Long
travis,Travis
vaeret,been
lokal,local
aktivitet,activity
tykke,thick
behøves,needed
balance,balance
media,media
male,paint
trøje,Shirt
lugten,The smell
fjæs,Feather
enterprise,Enterprise
myrder,murders
stål,steel
orange,orange
foto,Photo
beslutter,decides
tess,Tess
norbit,Norbit
misforståelse,misunderstanding
hovedkvarter,headquarters
luther,Luther
røve,rob
eksplosion,explosion
sti,path
skjold,Shield
sølv,silver
offentlige,public
stuen,the living room
overrasker,surprises
passet,looked after
sprøjte,syringe
frelse,save
optager,Records
overlevet,survived
nina,Nina
hale,tail
skoene,The shoes
beslutte,decide
online,Online
efterforskning,investigation
forsyninger,Supplies
afbryd,Disconnect
standard,standard
kultur,culture
hævne,avenge
vækkede,aroused
nogens,anyone
meldt,reported
ber,Ber
damon,Damon
pakken,The package
koma,Coma
haj,shark
spjældet,The damper
hassan,Hassan
branche,business
vesten,The West
laser,laser
dyrene,the animals
cuba,Cuba
kay,Kay
skider,shit
fabrikken,the factory
knus,Hug
missiler,Missiles
knuste,crushed
computere,computers
alpha,Alpha
anklaget,accused
protest,protest
hatten,The hat
køkken,kitchen
projektet,The project
hyret,hired
satellit,satellite
laden,the barn
dropper,drop
skredet,the slide
aktier,equities
afleverer,Deliver
willie,Willie
ejendele,belongings
hygge,fun
out,Out
liz,Liz
stolen,the chair
generation,generation
agt,AGE
marken,The field
bestyrelsen,Board of Directors
dodge,Dodge
tunnel,tunnel
guvernør,governor
styrken,the strength
seattle,Seattle
udgang,way out
re,re
troy,Troy
matematik,mathematics
herrens,Lord's
tørstig,thirsty
skak,chess
skråt,oblique
kriminel,criminal
længst,longest
hemmeligheden,The secret
populær,popular
dags,day
bankede,knocked
put,Put
barnebarn,grandson
hal,hall
orlov,leave of absence
dødt,dead
klager,complaints
væsner,creatures
resultater,Results
forbandelsen,the curse
mormor,grandmother
nash,Nash
bilbo,Bilbo
forsikre,assure
intelligent,intelligent
delt,Shared
vænne,turn
legede,played
ulykkelig,unhappy
nødvendige,necessary
rebecca,Rebecca
kolleger,colleges
nætter,Nights
løjet,lied
religion,religion
anthony,Anthony
manhattan,Manhattan
damerne,The ladies
genere,annoy
south,South
kane,sleigh
baglæns,backwards
hawaii,Hawaii
kke,CK
victoria,Victoria
christian,Christian
er,is
præsten,The priest
slot,castle
mærket,labeled
tilkald,Call
griber,Grabbing
psykiater,psychiatrist
mitch,Mitch
overordnede,overall
lily,Lily
bush,Bush
farer,dangers
skiftede,changed
samarbejder,Collaborations
pil,arrow
fartøj,Vessel
besætning,crew
franklin,Franklin
arrangere,arrange
klatre,climb
sun,Sun
lyse,bright
lastbilen,the truck
undertøj,underwear
lisbeth,Lisbeth
krydser,Crossing
overtale,persuade
usynlig,invisible
bilerne,the cars
afslører,reveals
julia,Julia
shaw,Shaw
konkurrencen,the competition
retfærdigt,fair
kenny,Kenny
mcclane,McClane
overgive,surrender
liggende,lying down
japansk,Japanese
efterforskningen,the investigation
holdning,attitude
fattet,made
taie,Taie
atter,again
graver,Graves
presser,presses
tæve,bitch
plet,spot
stefan,Stefan
tåle,endure
tradition,tradition
naboer,Neighbors
interesserer,Interests
lam,lamb
forestilling,show
woody,Woody
aktiv,active
trafikken,the traffic
hall,Hall
north,North
pam,Pam
mødre,mothers
øjeblikkeligt,immediately
løser,solves
ilt,oxygen
buzz,Buzz
udnytter,utilizes
ofrene,The victims
huden,the skin
personen,the person
rita,Rita
maskinerne,the machines
erjo,is
svømmer,swim
pisser,Pisses
eksploderer,exploding
skammer,Shame
klip,Cut
sild,Herring
santa,Santa
norman,Norman
lovligt,legally
betaling,payment
tungen,the tongue
beverly,Beverly
kursen,the course
drømmen,the dream
ambassadør,ambassador
stu,STU
biografen,the cinema
tårnet,the tower
morsom,funny
ivan,Ivan
ærlige,Honest
reklame,Advertising
garanti,guarantee
samantha,Samantha
samtalen,The conversation
forstærkning,reinforcement
nævner,Mention
ærede,Honorable
vinkel,angle
grundigt,thoroughly
koncentrer,Concentrates
bevæbnede,armed
iiiie,iiiie
bay,Bay
hor,hear
forrådte,betrayed
mønster,pattern
edmund,Edmund
kortene,The cards
fornemmer,sense
privatliv,privacy
konger,Kings
skaffet,obtained
arv,inheritance
felix,Felix
pâ,on
obi,Obi
troen,Faith
bedes,please
slutning,end
bakken,the hill
carson,Carson
mangel,lack
geværet,the rifle
mason,Mason
debbie,Debbie
stød,shock
soldaterne,the soldiers
dusin,dozen
billige,Cheap
rollen,The role
nederlag,defeat
åndssvage,spiritually weak
aftenens,The evening's
beskyt,Protect
isabel,Isabel
skynet,Skynet
voldsomt,violent
livstid,Lifetime
sænke,lower
brændende,burning
come,Come
tårn,tower
søreme,The sores
trapperne,the stairs
lidelse,suffering
eksplosionen,the explosion
jamie,Jamie
mærk,Feel
tænderne,The teeth
grupper,groups
aitid,Aitid
sejren,The victory
gentlemen,Gentlemen
begivenhed,event
motorvejen,the highway
bruden,The bride
ledig,available
straffet,penalized
foden,the foot
branden,The fire
udvikle,develop
kasser,Boxes
clyde,Clyde
tyggegummi,chewing gum
rygtet,The rumor
fã,few
voyager,Voyager
velsignet,Blessed
tricks,Tricks
forsikring,insurance
international,international
udtale,pronunciation
pop,Pop
stone,Stone
spider,Spider
genial,brilliant
prinsen,The prince
afsnit,section
fyld,Fill
gangs,Gangs
oz,oz
følsom,sensitive
drukne,drown
flår,Rins
gloria,Gloria
plage,teasing
væg,wall
deltager,participant
bagfra,from behind
rosa,pink
retssag,lawsuit
afdøde,deceased
blad,leaf
phoenix,Phoenix
sodavand,soda
distrikt,district
lægerne,the doctors
skiltet,The sign
kiar,Kiar
um,um
elliot,Elliot
spreder,Spreads
roser,Roses
forgiftet,poisoned
hellig,holy
omsider,finally
indstil,Set
droppede,dropped
begravelsen,the funeral
kiste,chest
veronica,Veronica
overbetjent,sergeant
dessert,dessert
manglende,lacking
wan,wan
undgår,avoids
ankomst,arrival
enorme,huge
forrådt,betrayed
d'herrer,d'hords
kvarteret,The neighborhood
ørerne,the ears
lur,nap
kontrakten,the contract
undersøg,investigate
overvågning,monitoring
kvit,Kvit
udvikling,development
fjernede,removed
værdig,worthy
smuttet,slipped
bagdøren,The back door
judy,Judy
ideen,The idea
navnene,The names
kræve,require
værktøj,tool
øjeblikke,moments
mcgee,McGee
randy,Randy
lager,stock
brække,break
parti,party
klør,claws
samles,gather
rådighed,availability
hil,Hil
elvis,Elvis
museum,museum
iaver,IAVER
nation,nation
døgnet,24 hours a day
alvorlige,Serious
intelligens,intelligence
delte,shared
underviser,teacher
latin,Latin
føj,EW
herr,Mr.
satser,Rates
mappe,briefcase
usædvanlig,unusual
kriminalassistent,Criminal Assistant
ulykken,the accident
aftrækkeren,The trigger
hovedkvarteret,the headquarters
vinter,winter
haster,urgent
bekymringer,worries
bevist,proven
varsel,notice
fejrer,celebrating
designet,Designed
gondor,Gondor
nyeste,most recent
spærret,blocked
begyndelse,beginning
spyd,spear
fattig,poor
ægtemand,husband
burke,Burke
kaffen,The coffee
bevidstløs,unconscious
årets,the year's
last,cargo
diskret,discreet
ralph,Ralph
ali,Ali
aha,Aha
tvillinger,Twins
sluttede,ended
modstander,opponent
tatovering,tattoo
kø,queue
årsagen,the reason
fuglen,the bird
døtre,Daughters
hut,Hut
sæson,season
synet,the sight
kristen,Christian
secret,Secret
nicole,Nicole
påvirker,affects
bygninger,Buildings
united,United
hyre,hire
modige,brave
kvindelige,female
tilpas,Customize
whoo,Whoo
sherman,Sherman
vane,habit
filer,Files
uventet,unexpected
glimt,Glimpse
sexede,Sexy
vinduer,Windows
politibetjent,police officer
anders,Anders
chip,Chip
noah,Noah
neil,Neil
turde,dared
kongressen,Congress
beskyttede,protected
sangen,the song
dygtige,talented
forfremmet,promoted
udtalelse,Statement
umulig,impossible
ih,I h
dermed,thus
efternavn,last name
ægteskabet,the marriage
fil,file
selskabet,The company
klipper,rocks
hore,hear
marco,Marco
herredet,Lord
stress,stress
vidnet,The witness
køleskabet,the refrigerator
evnen,the ability
hængende,Hanging
sær,weird
posten,mail
værelser,rooms
svor,swore
interessante,Interesting
almægtige,Almighty
huskede,remembered
skjul,Hide
skru,screw
toby,Toby
flint,Flint
forståelse,Understanding
kopier,Copy
knalde,bang
ki,Ki
japanske,Japanese
tegnet,drawn
kjolen,the dress
præsenterer,presents
vinteren,the winter
panden,forehead
lester,Lester
paranoid,paranoid
pá,on
omgivet,surrounded
dansede,danced
obersten,Colonel
lektion,Lesson
gi'r,GI'R
pool,Pool
hector,Hector
tøsedreng,Tøsedbreng
øhm,Uhm
jared,Jared
knække,break
fandtes,found
